Year,Frequency
1851,6
1852,5
1853,7
1854,5
1855,5
1856,6
1857,4
1858,6
1859,8
1860,7
1861,8
1862,6
1863,9
1864,5
1865,7
1866,7
1867,8
1868,4
1869,10
1870,11
1871,8
1872,5
1873,4
1874,7
1875,6
1876,5
1877,8
1878,11
1879,8
1880,10
1881,6
1882,6
1883,4
1884,4
1885,8
1886,11
1887,18
1888,9
1889,9
1890,4
1891,9
1892,7
1893,12
1894,6
1895,4
1896,7
1897,5
1898,9
1899,7
1900,4
1901,10
1902,5
1903,10
1904,4
1905,3
1906,8
1907,1
1908,8
1909,7
1910,3
1911,5
1912,5
1913,5
1914,1
1915,6
1916,14
1917,3
1918,5
1919,4
1920,4
1921,7
1922,3
1923,7
1924,9
1925,2
1926,8
1927,6
1928,6
1929,5
1930,3
1931,8
1932,14
1933,15
1934,9
1935,7
1936,9
1937,10
1938,7
1939,5
1940,8
1941,5
1942,6
1943,8
1944,12
1945,9
1946,4
1947,9
1948,8
1949,13
1950,13
1951,12
1952,8
1953,10
1954,10
1955,12
1956,9
1957,7
1958,12
1959,13
1960,7
1961,10
1962,4
1963,8
1964,8
1965,4
1966,8
1967,7
1968,8
1969,17
1970,9
1971,12
1972,6
1973,7
1974,8
1975,8
1976,6
1977,6
1978,7
1979,7
1980,11
1981,11
1982,6
1983,4
1984,10
1985,11
1986,5
1987,3
1988,8
1989,9
1990,11
1991,5
1992,6
1993,5
1994,7
1995,16
1996,10
1997,3
1998,12
1999,10
2000,12
2001,13
2002,10
2003,14
2004,11
2005,20
2006,9
2007,12
2008,14
2009,6
2010,16
2011,14
2012,14
2013,10
2014,6
2015,7
